factor,vif
lulc,2.226127718137672
slope,1.5626790439958764
elevation,1.4901120256363114
rainfall_mean,1.3744207510039115
twi,1.257862834811605
distance_to_river,1.1062112662906418
spi,1.026542233344602
soil_clay,1.0216403251230892
profile_curvature,1.0101725845327512
tri,1.0043643820829018
plan_curvature,1.0011708123289282
aspect,1.0006532761653566
