catchment_id,area_km2,watershed_id,mean_elevation
0,400.0,0,210.48133850097656
1,400.0,1,213.58822631835938
2,400.0,2,215.3257293701172
3,400.0,3,218.4020538330078
4,400.0,4,219.0346221923828
5,400.0,5,215.91754150390625
6,400.0,6,214.60317993164062
7,400.0,7,224.4055938720703
8,400.0,8,235.53140258789062
9,400.0,9,241.46395874023438
10,400.0,10,246.30523681640625
11,400.0,11,245.56617736816406
12,400.0,12,262.1324462890625
13,400.0,13,306.6786193847656
14,400.0,14,452.44451904296875
15,400.0,15,622.6813354492188
16,400.0,16,1187.930419921875
17,400.0,17,1451.71240234375
18,400.0,18,2200.859375
19,400.0,19,2483.357666015625
20,400.0,20,1649.0035400390625
21,400.0,21,1845.57470703125
22,400.0,22,755.1460571289062
23,400.0,23,215.95999145507812
24,400.0,24,219.81829833984375
25,400.0,25,222.82534790039062
26,400.0,26,225.11997985839844
27,400.0,27,227.4049835205078
28,400.0,28,222.50265502929688
29,400.0,29,222.07595825195312
30,400.0,30,222.75143432617188
31,400.0,31,233.21316528320312
32,400.0,32,248.97767639160156
33,400.0,33,256.011962890625
34,400.0,34,255.49301147460938
35,400.0,35,266.95562744140625
36,400.0,36,357.675048828125
37,400.0,37,674.3792114257812
38,400.0,38,1241.6375732421875
39,400.0,39,1756.0560302734375
40,400.0,40,1760.5533447265625
41,400.0,41,2607.571533203125
42,400.0,42,2448.9951171875
43,400.0,43,2176.6875
44,400.0,44,2730.65869140625
45,400.0,45,1091.4876708984375
46,400.0,46,220.47181701660156
47,400.0,47,226.4844512939453
48,400.0,48,230.05299377441406
49,400.0,49,233.83126831054688
50,400.0,50,235.4019012451172
51,400.0,51,230.70339965820312
52,400.0,52,232.60162353515625
53,400.0,53,236.27191162109375
54,400.0,54,233.4146270751953
55,400.0,55,242.17686462402344
56,400.0,56,248.47914123535156
57,400.0,57,262.32464599609375
58,400.0,58,290.96710205078125
59,400.0,59,498.0788269042969
60,400.0,60,887.9849853515625
61,400.0,61,2086.2646484375
62,400.0,62,2554.461181640625
63,400.0,63,1857.55908203125
64,400.0,64,2869.55322265625
65,400.0,65,3054.79150390625
66,400.0,66,3495.31103515625
67,400.0,67,3618.308349609375
68,400.0,68,1321.925537109375
69,400.0,69,225.2469482421875
70,400.0,70,232.94554138183594
71,400.0,71,237.5442657470703
72,400.0,72,242.458984375
73,400.0,73,244.8484649658203
74,400.0,74,238.9566192626953
75,400.0,75,241.11793518066406
76,400.0,76,241.19100952148438
77,400.0,77,257.25372314453125
78,400.0,78,282.5059509277344
79,400.0,79,330.2900695800781
80,400.0,80,320.1833801269531
81,400.0,81,421.56072998046875
82,400.0,82,543.8871459960938
83,400.0,83,1265.96337890625
84,400.0,84,2664.16748046875
85,400.0,85,2477.67724609375
86,400.0,86,1899.2269287109375
87,400.0,87,2232.168701171875
88,400.0,88,2811.624755859375
89,400.0,89,3379.55908203125
90,400.0,90,4146.640625
91,400.0,91,1521.8177490234375
92,400.0,92,228.88174438476562
93,400.0,93,238.5884552001953
94,400.0,94,244.69808959960938
95,400.0,95,250.28768920898438
96,400.0,96,254.138671875
97,400.0,97,245.22462463378906
98,400.0,98,248.9842529296875
99,400.0,99,267.3970642089844
100,400.0,100,334.9045104980469
101,400.0,101,473.44183349609375
102,400.0,102,518.39892578125
103,400.0,103,460.64752197265625
104,400.0,104,620.1488647460938
105,400.0,105,1110.2744140625
106,400.0,106,1309.5401611328125
107,400.0,107,2373.531982421875
108,400.0,108,2709.044677734375
109,400.0,109,2914.655029296875
110,400.0,110,3047.9130859375
111,400.0,111,3845.41650390625
112,400.0,112,4289.04248046875
113,400.0,113,4489.54296875
114,400.0,114,1904.2154541015625
115,400.0,115,230.1567840576172
116,400.0,116,244.3114776611328
117,400.0,117,251.5873260498047
118,400.0,118,258.3037109375
119,400.0,119,262.80267333984375
120,400.0,120,251.92459106445312
121,400.0,121,270.65704345703125
122,400.0,122,404.7517395019531
123,400.0,123,440.7472839355469
124,400.0,124,606.2545166015625
125,400.0,125,585.9227294921875
126,400.0,126,588.6686401367188
127,400.0,127,1130.94921875
128,400.0,128,2223.440185546875
129,400.0,129,1846.2574462890625
130,400.0,130,2087.407958984375
131,400.0,131,3319.339599609375
132,400.0,132,3653.406005859375
133,400.0,133,3461.08837890625
134,400.0,134,4641.7861328125
135,400.0,135,4859.72998046875
136,400.0,136,4910.3662109375
137,400.0,137,1923.2972412109375
138,400.0,138,230.60125732421875
139,400.0,139,247.5077362060547
140,400.0,140,255.843505859375
141,400.0,141,264.9935302734375
142,400.0,142,272.1672058105469
143,400.0,143,270.7572021484375
144,400.0,144,356.33935546875
145,400.0,145,390.78265380859375
146,400.0,146,593.4212646484375
147,400.0,147,616.2874755859375
148,400.0,148,698.2271728515625
149,400.0,149,868.58447265625
150,400.0,150,2483.830322265625
151,400.0,151,2556.544677734375
152,400.0,152,3452.671142578125
153,400.0,153,3536.322021484375
154,400.0,154,3586.420166015625
155,400.0,155,3746.78125
156,400.0,156,4372.04150390625
157,400.0,157,4656.79248046875
158,400.0,158,4867.59228515625
159,400.0,159,4874.07275390625
160,400.0,160,1893.32958984375
161,400.0,161,233.61376953125
162,400.0,162,253.7290496826172
163,400.0,163,263.4488525390625
164,400.0,164,278.0707092285156
165,400.0,165,295.67730712890625
166,400.0,166,301.670654296875
167,400.0,167,345.3309326171875
168,400.0,168,596.50439453125
169,400.0,169,794.9609985351562
170,400.0,170,866.9884643554688
171,400.0,171,745.5393676757812
172,400.0,172,1260.788818359375
173,400.0,173,3121.52978515625
174,400.0,174,3283.9853515625
175,400.0,175,4207.63720703125
176,400.0,176,4153.99853515625
177,400.0,177,4173.39208984375
178,400.0,178,4676.6083984375
179,400.0,179,4909.849609375
180,400.0,180,5074.88623046875
181,400.0,181,4674.31982421875
182,400.0,182,4703.74609375
183,400.0,183,2038.141845703125
184,400.0,184,238.1529083251953
185,400.0,185,261.73150634765625
186,400.0,186,274.7760009765625
187,400.0,187,300.3474426269531
188,400.0,188,392.07769775390625
189,400.0,189,545.9600830078125
190,400.0,190,892.6029052734375
191,400.0,191,756.8693237304688
192,400.0,192,955.6778564453125
193,400.0,193,1149.58203125
194,400.0,194,1084.9306640625
195,400.0,195,2315.471435546875
196,400.0,196,3798.486083984375
197,400.0,197,4217.2451171875
198,400.0,198,4246.240234375
199,400.0,199,4423.5029296875
200,400.0,200,4735.5654296875
201,400.0,201,5169.19873046875
202,400.0,202,5083.7529296875
203,400.0,203,4304.70751953125
204,400.0,204,4650.7529296875
205,400.0,205,4332.759765625
206,400.0,206,2364.1162109375
207,400.0,207,241.71429443359375
208,400.0,208,274.005615234375
209,400.0,209,297.0779113769531
210,400.0,210,393.0150451660156
211,400.0,211,859.2967529296875
212,400.0,212,1182.888916015625
213,400.0,213,1232.9365234375
214,400.0,214,1424.3316650390625
215,400.0,215,1565.5653076171875
216,400.0,216,1284.604248046875
217,400.0,217,1835.9498291015625
218,400.0,218,2874.00732421875
219,400.0,219,4257.1015625
220,400.0,220,4377.8134765625
221,400.0,221,4216.61767578125
222,400.0,222,5041.33935546875
223,400.0,223,5135.326171875
224,400.0,224,5154.36181640625
225,400.0,225,4752.265625
226,400.0,226,4730.55224609375
227,400.0,227,4600.7158203125
228,400.0,228,4530.1689453125
229,400.0,229,2229.63037109375
230,400.0,230,242.35968017578125
231,400.0,231,285.00433349609375
232,400.0,232,331.8739318847656
233,400.0,233,739.4059448242188
234,400.0,234,1332.3074951171875
235,400.0,235,1592.000244140625
236,400.0,236,1726.1925048828125
237,400.0,237,1579.796630859375
238,400.0,238,2419.206298828125
239,400.0,239,1924.2510986328125
240,400.0,240,2064.383056640625
241,400.0,241,2555.6669921875
242,400.0,242,3283.576904296875
243,400.0,243,4082.63232421875
244,400.0,244,4563.2939453125
245,400.0,245,4789.43310546875
246,400.0,246,5221.81103515625
247,400.0,247,4907.8740234375
248,400.0,248,4694.6591796875
249,400.0,249,4946.6865234375
250,400.0,250,4783.806640625
251,400.0,251,4407.380859375
252,400.0,252,2194.5791015625
253,400.0,253,239.35276794433594
254,400.0,254,290.8804626464844
255,400.0,255,415.7135925292969
256,400.0,256,1031.3353271484375
257,400.0,257,1832.16455078125
258,400.0,258,1999.707275390625
259,400.0,259,2100.820556640625
260,400.0,260,1719.6026611328125
261,400.0,261,2455.415283203125
262,400.0,262,2674.109619140625
263,400.0,263,3553.129638671875
264,400.0,264,3671.9892578125
265,400.0,265,4651.0791015625
266,400.0,266,5079.07763671875
267,400.0,267,5149.69775390625
268,400.0,268,5196.98828125
269,400.0,269,4986.05615234375
270,400.0,270,4831.96337890625
271,400.0,271,4821.6962890625
272,400.0,272,4890.837890625
273,400.0,273,5052.060546875
274,400.0,274,4725.587890625
275,400.0,275,2878.62939453125
276,400.0,276,248.19937133789062
277,400.0,277,338.3360900878906
278,400.0,278,477.23809814453125
279,400.0,279,1264.732177734375
280,400.0,280,1870.2008056640625
281,400.0,281,2100.072265625
282,400.0,282,2313.8720703125
283,400.0,283,1990.7374267578125
284,400.0,284,2247.577880859375
285,400.0,285,4068.78564453125
286,400.0,286,4553.673828125
287,400.0,287,4938.55322265625
288,400.0,288,5156.68310546875
289,400.0,289,4803.0380859375
290,400.0,290,5244.1396484375
291,400.0,291,5116.46240234375
292,400.0,292,4921.51513671875
293,400.0,293,4987.31591796875
294,400.0,294,4783.94287109375
295,400.0,295,5310.11865234375
296,400.0,296,4850.30419921875
297,400.0,297,4322.79150390625
298,400.0,298,2336.57470703125
299,400.0,299,261.52386474609375
300,400.0,300,537.0914916992188
301,400.0,301,556.6552124023438
302,400.0,302,1191.289794921875
303,400.0,303,1748.533447265625
304,400.0,304,1952.9248046875
305,400.0,305,2299.75634765625
306,400.0,306,2838.023681640625
307,400.0,307,2722.9052734375
308,400.0,308,3996.2177734375
309,400.0,309,5014.55908203125
310,400.0,310,5080.31787109375
311,400.0,311,5190.95703125
312,400.0,312,4755.083984375
313,400.0,313,5355.30322265625
314,400.0,314,5150.31494140625
315,400.0,315,5172.37548828125
316,400.0,316,5157.326171875
317,400.0,317,4940.8388671875
318,400.0,318,5038.802734375
319,400.0,319,4788.39453125
320,400.0,320,4651.77734375
321,400.0,321,3427.2041015625
322,400.0,322,383.0927429199219
323,400.0,323,624.5459594726562
324,400.0,324,1099.0147705078125
325,400.0,325,1496.5882568359375
326,400.0,326,1863.66552734375
327,400.0,327,1866.829833984375
328,400.0,328,2625.666015625
329,400.0,329,3603.36962890625
330,400.0,330,3383.663330078125
331,400.0,331,4322.642578125
332,400.0,332,4769.673828125
333,400.0,333,4534.0029296875
334,400.0,334,4417.47021484375
335,400.0,335,5122.30322265625
336,400.0,336,5331.1533203125
337,400.0,337,5132.56396484375
338,400.0,338,5292.8037109375
339,400.0,339,5524.1728515625
340,400.0,340,5192.37744140625
341,400.0,341,4828.67822265625
342,400.0,342,5072.12451171875
343,400.0,343,5400.35498046875
344,400.0,344,3515.25732421875
345,400.0,345,332.641845703125
346,400.0,346,924.9857177734375
347,400.0,347,1722.048828125
348,400.0,348,1764.729736328125
349,400.0,349,1883.614013671875
350,400.0,350,2697.940185546875
351,400.0,351,3146.758056640625
352,400.0,352,4261.45263671875
353,400.0,353,3511.595458984375
354,400.0,354,4090.397705078125
355,400.0,355,4804.244140625
356,400.0,356,4514.21630859375
357,400.0,357,4803.71630859375
358,400.0,358,5327.34619140625
359,400.0,359,5382.94384765625
360,400.0,360,4932.47216796875
361,400.0,361,4916.7119140625
362,400.0,362,5183.5234375
363,400.0,363,4919.03857421875
364,400.0,364,5417.6357421875
365,400.0,365,5566.44091796875
366,400.0,366,5132.89501953125
367,400.0,367,3907.971435546875
368,400.0,368,642.8103637695312
369,400.0,369,1264.8492431640625
370,400.0,370,1402.4437255859375
371,400.0,371,1820.4156494140625
372,400.0,372,2035.6295166015625
373,400.0,373,3546.656494140625
374,400.0,374,4469.12353515625
375,400.0,375,4714.24462890625
376,400.0,376,4562.30322265625
377,400.0,377,3607.914794921875
378,400.0,378,4248.44580078125
379,400.0,379,4267.92138671875
380,400.0,380,5183.8203125
381,400.0,381,5184.5498046875
382,400.0,382,5001.25
383,400.0,383,4717.19970703125
384,400.0,384,5412.2763671875
385,400.0,385,5179.69873046875
386,400.0,386,4951.56494140625
387,400.0,387,5410.45849609375
388,400.0,388,5155.23291015625
389,400.0,389,4802.91357421875
390,400.0,390,4052.45166015625
391,400.0,391,846.8734130859375
392,400.0,392,1138.1549072265625
393,400.0,393,1520.1361083984375
394,400.0,394,2115.456787109375
395,400.0,395,2816.267333984375
396,400.0,396,3594.9033203125
397,400.0,397,4555.75146484375
398,400.0,398,5122.5830078125
399,400.0,399,4930.0458984375
400,400.0,400,4865.78173828125
401,400.0,401,4232.361328125
402,400.0,402,4915.36865234375
403,400.0,403,4480.29833984375
404,400.0,404,4725.8154296875
405,400.0,405,5128.53125
406,400.0,406,5364.84423828125
407,400.0,407,4964.1611328125
408,400.0,408,4354.02197265625
409,400.0,409,5219.87548828125
410,400.0,410,4910.76904296875
411,400.0,411,4535.48486328125
